Date of Comment;Country;Comment Title;FULL COMMENT;Our Comments;Service-On Board/Off Board;Punctuality;Airplane Infrastructure;Other Factors;Positive Comment;;;;;;;;;;;;;;;;;;;
2024-09-05T12:41:03.000Z;GB;;"Whats wring with us?
Why would anyone pay to travel on Wizzair?
Just to shave of ?50-100? It’s honestly not worth it!

Shame you can’t give a “zero” star rating cos this airline deserves to be out of the TRAVEL business!

Absolutely diabolical. No one is ever there to speak or write to when something goes wrong as is most likely to happen when you leave your familiar environment.

How Wizz air, this Hungarian-born nightmare of an airline has managed survived this long is a mystery! Torture!";;YES;NO;NO;Price!?;NO;;;;;;;;;;;;;;;;;;;
2024-10-04T15:40:15.000Z;GB;;Never fly with this airline. I flew from London to Faro and back. I tried to check in 24 hours before the flight and the website wasn't working so I went to the desk to check in and the guy charged me ?45 to check in! On the way back I tried to check in online again and it specifically said mobile check in wasn't available for this flight. When I went to the desk where lots of people had the same problem they charged me another ?45. So unless you want to pay an extra ?90 on top of your ticket price I would avoid using this airline at all costs;;YES;NO;NO;Extra fees;NO;;;;;;;;;;;;;;;;;;;
2024-09-19T11:36:55.000Z;DK;;I had booked a flight with Wiz Airlines for last week from Podrica Montenegro to Copenhagen via Walsall, my plane was redirected to Kasovice, where we had to wait for one hour for a bus to come and get us and then drive to Warsaw which took nearly 4 hours, I had missed my flight then to Copenhagen so I had to buy a new ticket with LOT and this cost just short of €500. I put in a claim for compensation with Wizz And they literally just told me to get lost and I was entitled to no compensation as it was extraordinary circumstances which they never said what. I will be taking this further. Don’t ever fly  with Wizz air;;YES;YES;NO;Compensation;NO;;;;;;;;;;;;;;;;;;;
2024-10-04T21:22:45.000Z;IT;;"If you're looking for the worst company among the worst, you're in the right place. You'll find guaranteed delays, refunds full of obstacles, and planes so filthy they'll disgust you from head to toe.
Personal opinion based on the last 20 'flights'.";;YES;YES;YES;Refunds;NO;;;;;;;;;;;;;;;;;;;
2024-09-14T22:50:46.000Z;NL;;"Betaald om samen te zitten. Uiteindelijk ging dit toch niet wel betaald. Ik raad je aan om minimaal te betalen zonder extras je krijgt het toch niet zoals je wilt.

Paid to sit together. In the end, this didn't happen, but payment was still required. I advise you to pay the minimum without extras; you won't get it the way you want anyway.";;YES;NO;NO;Extra fees;NO;;;;;;;;;;;;;;;;;;;
2024-09-25T14:22:31.000Z;GB;;Paid over the odds for a “budget airline” and in the end was denied boarding with no rationale provided other than there is no space on the plane. Offered me an alternate flight 6 days from my original flight. Customer service is horrible to deal with and treat you without empathy. I received half the cost of the alternative flight I booked so I can get back to work. Worst thing was it was in Wizz credits… never flying with this company again;;YES;YES;NO;Overbooking;NO;;;;;;;;;;;;;;;;;;;
2024-09-18T11:14:23.000Z;GB;;Called the call center last night, which by the way charges stupid amounts of money (about 1.45€ per minute) just to be told that i have to wait for my voluntary flight cancelation refund, even though on the app said it will take up to 15 minutes to refund my account. The lad i spoke to wad bearily speaking english so i've spent 5 minutes repeating myself for him to understand. I knew they're bad but not this bad. Seems like a skimming company that even shows you that they'll rip you off for any bloody thing. Shameful;;YES;NO;NO;Refunds;NO;;;;;;;;;;;;;;;;;;;
2024-10-15T16:53:16.000Z;ES;;"Like: the price
Dislike: the tricky process of purchase and check in, trying to upsell constantly borderline with the scam trying to charge you for everything an extra...
Note on the side: good plane, expected leg room for the price but my flight W6 2377 on 15/10/2024 was extremely dirty... Patato chips all over the floor and seats. With this level of maintenance I forsee a somber future...";;YES;NO;Quite good but dirty ;Extra fees;Neutral;;;;;;;;;;;;;;;;;;;
2024-10-23T16:15:07.000Z;GB;;"Frustrating, scammmmmm
Cheating
to pay as a premium airline and get a cheap service
I booked my flight 4 hours before departure I can't access the check in and when I reached the check in desk they told me to pay a fee for check in, first time in my life I pay 43 pounds for check in. The lady in the wiz air office told me go and make a complain
Collecting money as hidden fees";;YES;NO;NO;Extra check-in fees;NO;;;;;;;;;;;;;;;;;;;
2024-11-05T10:49:02.000Z;GB;;"Another delayed flight,it's unbelievable that they can manage to get their flights delayed every single time!
Only a month ago they kept us in the plane ,doors shut for very nearly 2 hours with no explanation for the delay at all.

At Gatwick right now waiting in the queue for the checkin and recieved an app notification the flight has been delayed for 2 hours exactly and there is no explanation, we know that it's gona be more than 2 hours, the people are waiting and waiting and waiting and there is only one staff doing the checkin.
Why wizz air wouldn't let the customers know the delays in adance ? As they know for sure they will delay their flights !
Connecting flights, booked bus tickets,train tickets and ferry tickets all paid for nothing. This is not acceptable but what can you do.
The system allows wizz air to abuse their customers and they love doing that .

So if you don't want to fool your self for cheap tickets be prepped for the abuse,nonexistent service ,loss of money (on your departure),stress and spending more money at the airport .

Do your self a favour and avoid this pathetic company.

When arrived at the gate I've heard people and the staff particularly one female staff were shouting quite loudly. As they were forcing every single passenger to fit their backpacks in the metal frame right before the plane and charging people 54 pounds!
So when it was my turn they also forced and threaten me with not letting me in the plane! I've asked several times that instead of apologising and explaining the reason for the 2 and half hours delay why charging people 54 pounds for the backpacks been slightly large and the extremely rude staff kept saying ""she doesn't work for wizz air and it's not her problem '
Believe it was vicious and uncivilised! So I managed to fit my soft fabric backpack in heir metal frame but it was 8cm taller than 40cm but allthough I had 1pkg allowance my bag was only 7kg but she still charged me 54 pounds! I kept repeating my self that this is backpack and it's soft it gets in to different shapes as it's not hard shell and it's underweight but the staff was uncivilised and money oriented and extremely rude.

Damn WIZZ air, never again!";;YES;YES;NO;Extra luggage fees;NO;;;;;;;;;;;;;;;;;;;
2024-10-17T16:25:41.000Z;US;;Company delayed luggage for 21 days and provided all the documents and evidence. Company falsely claimed luggage was picked up in 3 days and denied claim. All evidences provided.;;YES;NO;NO;Claimed luggage;NO;;;;;;;;;;;;;;;;;;;
2024-10-16T22:04:07.000Z;GB;;Here's the best way to actually calculate your true flight cost. Take the 'cheap' advertised price. Multiply it by 10. Then add ?100. And more. Infuriatingly I booked a trip with my kids on a budget to Krakow for half term. When I've come to check in (in advance) adding a bag, choosing seat, etc. brought the cost to way more than BA would have charged to have ALL of these things included. This is the last time I ever fly Wizzair!;;NO;NO;NO;Extra fees;NO;;;;;;;;;;;;;;;;;;;
2024-10-12T04:05:43.000Z;IT;;I've flown WizzAir multiple times, and honestly, I don't understand all the negative reviews. You obviously get what you pay for. Don't expect to get a refund or change your flight without paying a fee... they make that pretty clear on their website. If people can't read, that's not the airline's fault. The only issue I've noticed is that their flights are often a bit late (like 1 to 4 hours), and they get rescheduled more often than other airlines. This is why I'm only giving 3 stars. If you want to save money and are OK with the flight being a bit late I still recommend flying with them.;;NO;YES;NO;NO;Neutral;;;;;;;;;;;;;;;;;;;
2024-09-26T17:06:20.000Z;GB;;"It is beyond me how such criminals are allowed to do business in Europe!

Stay well away from the 'all you can fly' offer.

It doesn't work.
And you won't be able to get your money back even though you are entitled to withdraw for a full refund within 30 days. But they will leave no avenue for you to do that.

They simply deleted my account log in credentials. I cannot even complain or speak to someone.... Lawsuit coming your way 'WizzAir'";;YES;NO;NO;Refunds;NO;;;;;;;;;;;;;;;;;;;
2024-10-19T01:24:05.000Z;GB;;Flight got cancelled after hours of being there - terrible customer service. Very unorganised and slow never fly with them;;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-09-20T13:31:54.000Z;PL;;Online chat is redirecting to contact page, contact page to online chat ( virtual assistant only not a real agent), customer service phone numbers must be fake (?) - none of them are working. No answer to my email regarding open claim...;;YES;NO;NO;Online service;NO;;;;;;;;;;;;;;;;;;;
2024-09-27T14:09:35.000Z;DK;;"I had a flight from Warsaw to Copenhagen
? was 5 minuttes late in the gate due to an accident - but no will to help at all!
I did go to the ticket office in the airport - but first the emploe did reject to look at my case.
First when i insisted to rearrange my flight they helped me.
they told me that i could get a ticket for the next day - but i had cheked that i could get one same day - so again when i insisted they checked, and the found a ticket for the same evening.
i know i a low price company - but terrible assistance in general!!";;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-09-04T15:53:46.000Z;GB;;WizzAir usually tells you to go online and submit a complaint on their website and that is the only way anyway, once you spend time explaining the problem then submitting it and you wait for a response for as many days as you can,  then you find out basically they do not respond in fact they ignore it and do not resolve your complaints.Secondly, they sell Wizz Flex for extra charge to get some benefits when changing or cancelling flight free of charge as they confirm in their T’s&C’s. Then when you want to cancel they actually charge you ?12.50 i.e. they ribbed you off. !!;;YES;NO;NO;Online service, extra fees;NO;;;;;;;;;;;;;;;;;;;
2024-09-12T14:51:46.000Z;GB;;I booked return flights from London to Budapest for this October to participate in the marathon. Due to a cancer diagnosis I cancelled a couple of months in advance. Of the ?190 paid, Wizzair withheld a cancellation fee of ?120 and said I would get the rest refunded. It turned out that was untrue: they’ve kept my ?70 in a credit account. That is not a refund. They won’t let me have it back. Is this even legal? Do not even think about ever using these cowboys.;;NO;NO;NO;Refunds;NO;;;;;;;;;;;;;;;;;;;
2024-09-18T00:37:43.000Z;GB;;"Flight from Gatwick to Naples was delayed due to their incompetence which then resulted in us being diverted to Rome. We then were coached all the way to Naples from Rome and didn't arrive until 5am in the morning.
Then to top it off our flight back home to Gatwick was delayed and then cancelled, due to Gatwick air traffic control issues, so it wasn't completely Wizz airs fault on cancellation. However their handling was completely outrageous, we had to queue up for hours, to put our name down for a hotel, and later find out sign a paper that prohibits us from making a claim for this return flight. Their communication and organisation of such events should be seamless.
And to top it off again, now I cannot even make an account with Wizz air because theyre not sending me the verification email link to my email! Refreshed 100 times now.";;YES;YES;NO;Unclear communication;NO;;;;;;;;;;;;;;;;;;;
2024-10-01T16:48:03.000Z;NL;;"Wat een kut bedrijf. Ik betaalde ~40 euro voor flex. Vlucht annuleren lukt alleen voor credits in de app, dus bellen, en ze willen me van 232 wel 45 terugbetalen. Nooit meer.

Dear Wizz Air,
I paid for flex so that I could get all my money back if I needed to cancel. It looks kind of sketch because the app only allows for refund to the wiz air account but after much research I see that if I call I can get a refund to my payment method. I call and am offered 45 euros, out of 232 total, the same amount approximately I paid for flex in the first place. You should be ashamed of yourselves and I hope you rot in the same corporate hell you have created here. I will never come near your company again and tell anyone who asks how awful you are.
Get f*cked,
Noah";;NO;NO;NO;Refunds;NO;;;;;;;;;;;;;;;;;;;
2024-10-10T13:22:16.000Z;GB;;"Purposely allocated seats separately even when there are plenty seats available.
Last flight with wizzair. Absolutely rubbish";;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-09-16T15:13:42.000Z;DK;;Worst airline company in history! Never fly with them! We waited in Podgorica Montenegro for 6 hours and then our flight got cancelled. No help was offered to us or compensation. We had to spend 1500 euros to eventually get home . Worst experience in my more than 100 flight. 1,5 months later i am still fuming!;;YES;YES;NO;Compensation;NO;;;;;;;;;;;;;;;;;;;
2024-09-28T14:06:27.000Z;US;OK Flight, Shakedown Business Model, Inept Customer Service;I have flown Wizzair on 4 occasions.  I paid extra for Priority luggage each time which felt like a shakedown.  Flights were on time, nice planes etc.  I didn't like being asked to pay 3 pound for water.Latest flight revealed the awful state of their booking systems and App.  After multiple attempts to check in online, I ended up being charged to check in at the airport.  The customer service options to get this refunded are extraordinarily difficult to find.  My online account is corrupt and not attached to the booking reference.;;YES;YES;YES;Extra  fees;YES;;;;;;;;;;;;;;;;;;;
2024-09-22T22:06:09.000Z;GB;The call centre people were very rude…;The call centre people were very rude and unhelpful I’ve never had to deal with anything like this before. Will definitely NOT be booking from this airline again. Highly disappointed. Also charging 1.45 a minute is a con.;;YES;NO;NO;Expensive call center;NO;;;;;;;;;;;;;;;;;;;
2024-09-18T18:49:13.000Z;GB;Cheap even with extra luggage costs;"Second time using Wizzair this year. Everything was a doddle and despite many poor reviews I experienced no problem. Yes, the luggage price add on is a lot, but added to the ticket price it was still far cheaper than any other airline. Plus it flies direct to many Eastern European airports which is a big bonus. With Discount Club membership we still saved overall and we checked in online two weeks before flying, chose our seats and at the airport everything was plain sailing.
We may have a bad experience sometime buy for now we ha e no complaints.";;YES;YES;YES;Luggage fees;YES;;;;;;;;;;;;;;;;;;;
2024-10-17T17:01:54.000Z;GB;The Worst Airline Customer Service;"Terrible customer service! My cousin bought return tickets from London Luton to Athens using Wizz Air. On the return flight at Athens, the Wizz Air system did not generate their boarding passes which left them stuck in the airport. The lady at the check in kept saying the system errored and did not print the boarding passes. My cousin was then told to contact Wizz Air customer services. After speaking with them on the day on behalf of my cousin as he was stuck in the airport. Wizz Air seemed not bothered by the incident, they offered me cancelling the flight with a ?0 refund! They told me to tell my cousin to speak to the airport staff again. The airport staff kept sending us back to the Wizz Air customer services. Nobody had an answer for why the system did not generate their boarding passes. This caused them to miss the flight, stay stranded at Athens airport for hours and then having to book another flight with Easyjet for the following night to avoid this issue again. This also meant that they had to book an extra night at a hotel. I called Wizz Air again and was told to submit a complaint via the form online. Upon submitting the claim i was told this could take longer than 30 days to process due to high load. I then called Wizz Air again with the complaint number. I was once again left with zero empathy or consideration and was told by the staff that it'll be processed.

It has been over two weeks since the incident and still no word from Wizz Air. DO NOT use this airline!";;NO;NO;NO;Extra costs;NO;;;;;;;;;;;;;;;;;;;
2024-09-07T17:17:22.000Z;GB;Miserable experience;"Our Venice flight time home was changed which was a nuisance but bearable before we left the UK.
However checking in from Venice was a trial to say the least. Charges would be made at airport if not done beforehand!
Then the flight was delayed - from 19:00 to 19:20 at the airport. Check in was absolute chaos we never boarded until well after 20:00. Once on board we were informed that we had missed our take off slot and we waited another 45 minutes.
Several people complaining about the checking in online as they found it impossible and then were charged upwards from 13.95 euros per person to check in.
All in all a very unhappy flight with very unhappy people.";;YES;NO;YES;Extra costs;NO;;;;;;;;;;;;;;;;;;;
2024-09-20T05:25:54.000Z;RO;WizzAirs lack of transparency is truly shocking;WizzAirs lack of communication and transparency is atrocious. The unfortunate situation happened to a family member whom I booked a flight for, which included me checking then in. During the check-in process, the entire shenanigans of 'what seat do you want? Do you want to rent a car? Travel insurance?' began again... I chose random allocation of seating, thinking that its like Ryanair or Easyjet... but nooooo. The worst was yet to come. Because of the lack of transparency on me choosing that seating option, the family member arrived at the airport and was told he was on the WAITING LIST for the flight! WTH?? How low does WizzAir have to go, how cheap but money-hungry do they have to be, to have waiting lists?? It's unacceptable! The stress follows of 'Will they make it on the flight? Do I have to book a new, very expensive one?' So I cannot ever recommend flying with WizzAir! Plus, there are hidden costs everywhere!;;NO;NO;NO;Hidden fees, lack of communication;NO;;;;;;;;;;;;;;;;;;;
2024-10-07T21:19:10.000Z;DK;Very bad experience;I dont give any  a stars This Wizz Airlines is very bad. They only want money from costumer. I hope one day This Airline shutdown. The cost us so much money for This flight. They cancel our flight 2 hrs before departure. We paid almost 2.000 euros for family roundtrip Oslo to Krakow. We lost so much money for Wizz Air  Never again;;NO;NO;NO;Financial loss ;NO;;;;;;;;;;;;;;;;;;;
2024-09-05T14:11:00.000Z;GB;Delayed twice in a row around 2hours;"Delayed twice in a row around 2hours
These company of thieves doesn’t give absolutely anything for free!!!
Once you get in the place they charge you even for plain water!!!
All other companies gives you free meal and extra free drink,even their flight has a stop over, they still give a free second meal and free extra drink for the connection flight aswell!
What a load of bunch of thieves charging and don’t give anything for free!
The worst disgraceful feeling, you are in the place and you expect a free welcome meal but instead you don’t get even water for free!!!
As a matter a fact they don’t even have meals in their planes but only garbage croissants with chocolate and all crap.
I had no choise otherwise I wouldn’t book with this company.";;YES;NO;NO;Extra charges;NO;;;;;;;;;;;;;;;;;;;
2024-09-29T04:18:15.000Z;RO;Scammed to pay check in tax;"Was forced to pay the airport check in tax of 48eu per seat. We were 4 people and the 24h online check in was only with paying priority or seats which I didn't want. They basically took the option out from the app or portal so you are forced to pay at the airport and as such the ticket is double the cost.

It's the first time I have this issue and there is no one you can fix this with. Nobody answers the phone or the airport reps are just ""not from wizz"" so they cant help.

You will spend more money than going with a decent airline in the first place. AVOID.";;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-28T07:53:36.000Z;IT;Online checkin not possible!;Check in online possible only until 3 hours before the flight (!??);;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-02T11:53:02.000Z;DE;Rescheduled my flight;"Wizz Air just rescheduled my flight without asking me before hands, which alternative flight I would like to take.

Now I‘m trying to contact them but it is impossible.

That‘s not how you treat your customers.";;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-09-24T23:32:27.000Z;GB;The major changes introduced in your…;The major changes introduced in your airlines surprised me very positively. I am impressed with the service of flight W9 2065. Friendly people at check-in, high level of culture, very helpful. After boarding the plane it was very clean, everything as it should be. And here is another pleasant surprise in relation to a very elegant black lady, it is rare to find such a charming, nice person who performed her duties with a smile on her face. By employing this lady you hit 10 on the target and I think that this person should be the service supervisor on board. Next time I will also choose Wizzair airlines.;;YES;NO;YES;NO;YES;;;;;;;;;;;;;;;;;;;
2024-09-24T19:13:21.000Z;NL;no possibility to check in online: 90 euros extra at airport!;"we received an email last night that our flight might be cancelled due to strikes in airport. we were told to ""wait for the next email"".
one hour before announced departure, we finally receive an email saying, flight is on but delayed, with link to check in.
we had just arrived at the airport to be there in case the flight was gonna leave but we're told we missed the online checking window and had to pay an extra 90 euros to get our boarding passes!!
we also had tried to reach all day the company by phone for an update but the phone number given for Montenegro on their website tells us it's the wrong number for Monténégro and hangs up automatically.
So disappointed by this company. low priced don't justify scamming clients and not providing any customer service.";;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-06T11:15:01.000Z;GB;They cancelled flight less then -/…;They cancelled flight less then -/ hours before the flight whims they were aware of the security situation days advance;;NO;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-20T08:30:27.000Z;CY;They canceled my flight and they are…;"They canceled my flight and they are NOT even refunding me!!
What is this? Its their own fault, they cancel my flight for which i paid and they dont even refund any money! This is OUTRAGEOUS";;NO;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-09-08T23:45:00.000Z;GB;Wizz Air is truly a terrible airline…;Wizz Air is truly a terrible airline with awful/non existent customer service. We had booked a flight for my mum's birthday, only for it to be delayed for 5 hours (with minimal communication) and then cancelled last minute and all that was offered was a voucher. Hotel was offered but difficult to access through the portal, and all staff were unfriendly and unhelpful giving unclear, and often contradicting instructions. Not very optimistic about this, and would not book again. If you value professionalism, punctuality and your sanity opt for another budget airline.;;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-04T04:35:02.000Z;GB;You’ll be left in the airplane for two…;You’ll be left in the airplane for two hours without AC in a very hot country and forced to pay for water to survive and never receive any compensation or even apology;;NO;NO;YES;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-25T10:11:01.000Z;GB;This company should have folded a long…;"If all goes well with your Wizz Air booking then you are fortunate. They make a change and then dealing with them has been a unending nightmare. Hours of time wasted on the phone emailing and they constantly refuse to help. They appear to be very strict on security, GDPR quoting it frequently however this is nothing more than a sham as when I asked for a document showing that a refund had been provided they sent me the full personal details of another customer. When I asked for a document in my name they refused to acknowledge their mistake and stated I must file another and separate complaint.

Update: been offered full refund on one leg of journey although travel agents kiwi refusing to forward it on.
I will alter stars given to 2 although this will change if refund isn't actually received
This company should have folded a long time ago. If it was dependent on receiving average and above reviews it would certainly have failed very quickly.
They con people by offering slightly cheaper flights but the true cost soon becomes apparent.
Their treatment of customers is shocking and begs the question - why...";;NO;YES;NO;Refund issues, poor communication;NO;;;;;;;;;;;;;;;;;;;
2024-10-01T16:48:07.000Z;AE;Online check in Cheap Trick Con;Subject : Online Check in Cheap Con. So Wizz air email you 1 hour and a half before you online checkin closes. If you miss this window of opportunity you have to pay an additional GBP 42.00 to be able to be issued your boarding pass.  The actions of a cheap trick con artist.;;YES;NO;NO;Extra charges;NO;;;;;;;;;;;;;;;;;;;
2024-09-17T00:14:52.000Z;CY;I flew from belgrade to larnaca;I flew from belgrade to larnaca. It was ok, but there were some negative points, I cound not check in app, because wizzair required to do it in offline only, check-in desks had incorrect numbers, there were a lot people, so I spent 2 hours only for check in, the flight was delay also;;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-09-13T15:07:19.000Z;GB;Appalling - avoid at all costs;"Booked a flight earlier this year. Within a month of booking, had an email to say the flight schedule had changed - and offered me a refund of 120% Wizz credits (an actual ? refund was only possible via accepting credits as a refund first).

The new flight details were not suitable, so followed the instructions to request credits, and then heard nothing further (and no credits were added to my account).

I then spoke to customer services who were apologetic and said they would arrange for the credits to be provided.

Again, the credits were not provided so I filed a complaint - in response to which the airline said that as I cancelled the flights (on the date I spoke to customer services, so presumably cancelled by the agent I spoke to) I would not be entitled to any form of refund.

I then called Wizz Air again who said there was nothing they could do.

Terrible service throughout and as it currently stands, Wizz Air have defrauded me out of c. ?100.";;YES;NO;NO;Refunds;NO;;;;;;;;;;;;;;;;;;;
2024-09-26T15:14:50.000Z;NL;I only fly this piece of garbage bc…;I only fly this piece of garbage bc there's no alternative.. as soon as there will be ANY other options will never set foot in this trash can??;;NO;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-09-08T21:57:49.000Z;GB;WORST EXPERIENCE EVER;"WORST EXPERIENCE EVER – Wizz Air Ruined Everything!

Wizz Air, you are a DISGRACE to the airline industry! *Yet again*, you cancelled our flight at the very last minute, completely throwing our entire trip into chaos. This isn’t the first time you’ve pulled this stunt, but it WILL be the last time we ever book with you. We were left stranded, panicked, and helpless because of your sheer incompetence.

Thanks to you, we missed our connecting flight, and not just any flight—it was our ONLY chance to reach an important destination! The financial loss, the stress, the endless hours of trying to rebook everything... utterly unbearable. You have no concept of customer service or basic human decency. No help, no explanation, just a robotic “your flight is cancelled” like that somehow makes up for ruining our entire journey!

Wizz Air, you are the definition of a nightmare. It’s like you take pleasure in creating misery for your passengers. If you want your vacation, your work trip, or any shred of peace of mind DESTROYED, then sure, go ahead and book with these clowns. Otherwise, RUN the other way as fast as you can.

Avoid this airline at all costs, unless you enjoy heartbreak and chaos.";;YES;NO;NO;Compensation;NO;;;;;;;;;;;;;;;;;;;
2024-09-14T11:06:20.000Z;GB;Horrible company;Horrible experience with this clowns!  One star is far to much! The staff attitude and the coustumer service is the most ugly experience I had to deal with in my entire life. Never again with this jokers.;;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-08T16:08:05.000Z;AE;Wizz Air. Only about the money!;"I recently endured a harrowing journey with Wizz Air from Baku to Abu Dhabi. The flight was plagued by delays, with little to no communication from the airline. When I did complain at the airport, I was told all updates are delivered through their app.

Given Wizz Air's ability to send emails regarding luggage charges and check-in, it is astonishing that they would rely solely on an app for delay notifications. This is especially problematic for those who may not have access to their phones or may have unreliable internet connections.

Despite Wizz Air's own policy of providing adequate food and water during delays, the options offered were utterly insufficient. As a vegetarian, I was only offered a hot dog and water. This is unacceptable, especially considering European Regulation 261/2004 requires airlines to provide appropriate food and drink during delays.

Wizz Air's customer service is equally as appalling. The only way to file a complaint is through their predetermined form, which offers no room for adequate explanation or context. When I inquired about other channels for complaints, such as social media or email, I was informed that there is no such option. This is a blatant disregard for customer welfare.

I strongly advise anyone considering flying with Wizz Air to reconsider. Their utter disregard for passenger welfare and complete lack of customer service make them an airline to avoid at all costs.";;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-22T10:40:43.000Z;NL;Compliments on excellent value for money and good service;"Gelukkig had ik niet van tevoren alle slechte en vijandige reviews gelezen, anders had ik zeker niet geboekt voor een vakantievlucht Eindhoven-Varna (14-21 oktober 2024).  Maar godzijdank las ik dat pas allemaal achteraf.

Op de harde stoelen na (en het applaudisseren van de passagiers bij de landing, ik wist niet dat dat nog bestond en is Wizz Air niet te verwijten) kan ik HELEMAAL NIETS NEGATIEFS zeggen over Wizz Air:
1. online boeking (website) ging zeer eenvoudig, en bij het later bijboeken van extra bagage via de app (en naast elkaar zitten en automatische check-in) bleek de naadloze integratie van website en app.
2. stiptheid dik in orde: op de heenreis 20 minuten te laat vertrokken en netjes op tijd aangekomen, op de terugreis stipt op tijd vertrokken en 35 minuten te vroeg aangekomen.
3. bagageafhandeling voorbeeldig, beide keren maar 10 minuten hoeven wachten, dus relaxed de tijd voor een toiletstop en daarna vlot naar de uitgang.
4. vriendelijk personeel en schoon vliegtuig en toilet.

Ik ben 1,77m en had voldoende beenruimte.  Volgende keer neem ik een stoelkussentje mee.


Fortunately, I had not read all the bad and hostile reviews beforehand, otherwise I definitely would not have booked for a vacation flight Eindhoven-Varna (14-21 October 2024).  But thank goodness I only read all that afterwards.

Except for the hard seats (and the applauding of the passengers at landing, I didn't know that still existed and can't be blamed on Wizz Air) I CANNOT SAY ANYTHING NEGATIVE about Wizz Air:
1. Online booking (website) was very easy, and when later adding extra luggage via the app (and sitting next to each other and automatic check-in) the seamless integration of website and app proved to be very good. 
2. Punctuality was excellent: on the outbound flight we left 20 minutes late and still arrived right on time, on the return flight we left right on time and arrived 35 minutes early.
3. Baggage handling was flawless, both times we only had to wait 10 minutes, so relaxed time for a toilet stop and then smoothly through to the exit.
4. Friendly staff and clean airplane and toilet.

I am 1.77m and had enough legroom.  Next time I will bring a pillow for the seat.";;YES;YES;YES;NO;YES;;;;;;;;;;;;;;;;;;;
2024-09-27T15:23:34.000Z;GB;Flight from Istanbul to London;"Flight from Istanbul to London however was flying from another airport in Turkey. But I was unable to check in online and basically had to exit the airport and go to their check in desk. Oddly with Turkish Airlines and Pegasus you don't need to do this, but I suspect it's not Wizz Air that's at fault.

In Addition the Turkish desk attendant, was offering to take small suitcases in for free of charge, I had my wife and child flying out the next week as I had to leave sooner, so I told them they can take their slightly larger small suitcase and drop the bag off. Turns out it's a pick and choose from these attendants. We paid extra, but never trust a word they say, rely on the website info.

I also suspect they want people to use their native airlines hence the purposeful poor service. Once we boarded the plane, everything was back to normal and smooth, clean flight, much better than the Turkish airlines I've used before.";;YES;YES;YES;NO;YES;;;;;;;;;;;;;;;;;;;
2024-09-09T05:57:41.000Z;HK;Travel from Tirana to Rome.;"Travel from Tirana to Rome.
Flight delayed over one hour. Led to bad weather on arrival in Rome and the flight was diverted to Bologna 400km away from our destination.
No help from staff on site in Bologna and we spent over 5hours on the floor in the airport.
On top of that the checked in baggage was lost. No help at all from Wizz Air.";;YES;Yes;NO;Lost baggage;NO;;;;;;;;;;;;;;;;;;;
2024-09-17T17:51:35.000Z;NL;Worst airline in the world!;"Worst airline in the world!
My son was with 4 friends and minutes before taking off from Budapest to Eindhoven the flight was overbooked. One of the 4 could not get on the flight. My son managed to get a flight to Brussels, if he wanted to fly to Amsterdam, he had to wait 4 days.
They said they would compensate him for the inconvenience and pay for the taxi from Brussels to Eindhoven. We have filled out the forms they told us to send and send the invoice for the taxi, but so far no payment has been done. We paid €300,- for the taxi and now they claim we don’t have a correct invoice for the taxi. You can’t get anyone on the phone unless you pay €1,- per minute. It has been a month since he flew Wizzair. Most expensive cheap airline in the world…";;YES;YES;NO;Compensation;NO;;;;;;;;;;;;;;;;;;;
2024-09-08T14:15:55.000Z;ES;Worse than Ryanair;"Worse than Ryanair. On-line check in was not working due to technical issues and we got charged 100€ at the airport for just getting the boarding passes.

Avoid it if you can.";;YES;YES;NO;Extra charges;NO;;;;;;;;;;;;;;;;;;;
2024-09-05T02:15:14.000Z;NL;Worst airline ever;"Worst airline ever.
Bought tickets a month before, also bought wizz priority.
But because of a late checkin, I did not get a seat becase the flight was oversold so my whole trip had to be cancelled.";;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-09-10T16:32:17.000Z;IT;They don’t even deserve one star;They don’t even deserve one star. Be careful and read their terms and conditions thoroughly. They use various shady tactics to trap you with extra fees;;NO;NO;NO;Extra fees;NO;;;;;;;;;;;;;;;;;;;
